taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Gardnerella,0.5286358528121137,1,0.2282115030280201,0.39748058895043537,-2.7870442431185847,-2.847967936990166,-2.7234713656997815,0.11226943404618783,2.0017633863930655,0.022562650289644534,0.4719056189701318,0.39748058895043537,FALSE,ns
Haemophilus,0.8322439768646924,1,0.2541006737377262,0.4180805847766187,-2.786963402729209,-2.842305733809585,-2.7324656897521455,0.09611134242975794,1.7908837611874215,0.028354074491620824,0.4709058189335041,0.4180805847766187,FALSE,ns
Massilia,0.6078342642483546,1,0.22716875592315236,0.42458354997429293,-0.24582182354654858,-0.35102434980055186,-0.1426813922943122,0.18734812749441243,6.808354727560944,0.03270013159871379,0.44991001816499293,0.42458354997429293,FALSE,ns
Sphingobacterium,0.7106981179815478,1,0.2538738726819485,0.4260692858414358,-1.5339436396450319,-1.580663070995672,-1.4858952844232425,0.11112115717269155,1.5484779791022083,0.03387475899039308,0.4636000001219802,0.4260692858414358,FALSE,ns
Pseudomonas,0.3722471383810092,1,0.22935205451517662,0.4343582637622928,7.83883994723601,7.747974490757708,8.144244567729455,0.27554870424186273,8.496707670739422,0.03325382460263333,0.4698000001010352,0.4343582637622928,FALSE,ns
Cupriavidus,0.6938005809554136,1,0.2657552220016533,0.44339544054470686,-3.038147596630256,-3.098516962479824,-2.972986064648243,0.11963025075684364,1.8855257719816994,0.03135662140372965,0.46820000010643054,0.44339544054470686,FALSE,ns
Brevundimonas,0.4758173494725528,1,0.24884063765588096,0.45134489476367046,0.9758878477515207,0.9123087122565972,1.0443198145561414,0.1723874888211281,5.296474145756773,0.0350169894166138,0.4561087783917322,0.45134489476367046,FALSE,ns
Anaerococcus,0.7558385450522828,1,0.26619022540697307,0.46970338889474383,1.4356083296611981,1.378284936706562,1.5029410258491414,0.12032580218609024,2.2248391237566345,0.036730424154645294,0.4631073786478941,0.46970338889474383,FALSE,ns
Sphaerobacter,0.5285561864179394,1,0.31800819283050163,0.49741453638657684,-4.4959567785634125,-4.57410477672149,-4.417579619805703,0.14635764968286402,2.879305591114859,0.02638783587996009,0.46890621886025546,0.49741453638657684,FALSE,ns
Cloacibacterium,0.797905328805634,1,0.2929500660141405,0.49833642093189484,0.9760594809757324,0.9349224491778143,1.0189123558796407,0.12354244561207661,1.9630535729886924,0.03156074843674418,0.4613077385820087,0.49833642093189484,FALSE,ns
