taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Gluconacetobacter,0.12593246835076424,0.857269359820011,0.1112298664742831,0.29905421173838154,-2.637259733706041,-2.4394400652571235,-2.863260261163786,-0.3920595581965802,3.272068431123788,-0.07703980071301231,0.43111377747852103,0.29905421173838154,FALSE,ns
Cardiobacterium,0.6687916790036932,1,0.09546402571501472,0.30276719213002323,-1.34221914654837,-1.1678271284077288,-1.5489186141314448,-0.3291845204863906,3.6074936510785793,-0.059243277956839965,0.43520000021969,0.30276719213002323,FALSE,ns
Nocardioides,0.15705519543398513,0.9660335866490103,0.09845333970061321,0.3041656976600753,-1.7260816703901654,-1.515758345022733,-1.975365154348741,-0.4550068869695165,5.264621417611279,-0.06674877963011522,0.4215156971287441,0.3041656976600753,FALSE,ns
Enterococcus,0.4541012321089989,0.9974919784970183,0.1006773608325865,0.3068441277710485,-1.2288592090087596,-1.0421127330772038,-1.4454730116812744,-0.4170149234337517,3.688274175341462,-0.07328320610663241,0.423715257208849,0.3068441277710485,FALSE,ns
Pantoea,0.05864728705122227,0.8038011987533351,0.10953216327568012,0.3072041188837412,-3.0377751643341915,-2.8253340183681193,-3.272709476918658,-0.46842247095669975,3.764585486306392,-0.0795943259393953,0.4263147373035598,0.3072041188837412,FALSE,ns
Kingella,0.2080814636870554,0.992209968567664,0.09708357326443473,0.3094355227796464,-0.7047968498023378,-0.5217978731003994,-0.930881502510446,-0.4197318290060057,5.846341196100252,-0.06569448144163766,0.42011597707778464,0.3094355227796464,FALSE,ns
Achromobacter,0.28969560033665576,0.9766797735824833,0.11436896447024858,0.3106834472202284,-2.37359216927942,-2.160278926513115,-2.624099569670726,-0.39717841454756453,3.1766223244536036,-0.08147377623176782,0.42991401743476754,0.3106834472202284,FALSE,ns
Ferruginibacter,0.33383448553389417,0.9815644291844321,0.11172271886549279,0.31744484506527554,-2.5415170272559156,-2.3192751163072858,-2.77117442459733,-0.4060561117204555,3.3620832542701997,-0.08287250677772678,0.4317136575004012,0.31744484506527554,FALSE,ns
Rhodoplanes,0.4864105502434697,0.9978187448845673,0.11561626533038326,0.3175979506637953,-2.0701286404440022,-1.8547882102214386,-2.3028304312803414,-0.3465074219249855,3.114286834158383,-0.07408393444561558,0.43491301761712914,0.3175979506637953,FALSE,ns
Streptobacillus,0.46519352140904335,0.9950657202641473,0.11328429711562864,0.31764113532327126,-1.9741579064183972,-1.7723921884260232,-2.1913144939496148,-0.37154348063520537,2.785192218491849,-0.08593927348093286,0.4248000002564684,0.31764113532327126,FALSE,ns
Gardnerella,0.5034500964649067,1,0.09772174606250615,0.32068447088172136,-0.6105569095074515,-0.4466164569171456,-0.8056819187675295,-0.3620746556509813,5.98456018181325,-0.057813739237094805,0.4334000002260096,0.32068447088172136,FALSE,ns
Pseudoxanthomonas,0.5327987115751064,0.9994877207019512,0.11466869560071818,0.3216160840266302,-1.813479129167666,-1.6246564227103084,-2.024425153584671,-0.3751912103543349,3.446569335825255,-0.07419704435874422,0.42920000024082833,0.3216160840266302,FALSE,ns
Jeotgalicoccus,0.26666382381406317,0.9618073013388396,0.12203321729695848,0.3252259844712078,-2.4339737302849507,-2.211488770861493,-2.6681738357110385,-0.4220022517735842,3.2676169458185855,-0.08511949843616258,0.4249150172525564,0.3252259844712078,FALSE,ns
Carnobacterium,0.46566460675825216,0.993350027397572,0.11590276832019862,0.3274931927519387,-1.9021410291531096,-1.7301928369107653,-2.104358899834777,-0.28212776450848054,3.1749181525548655,-0.05427758010296396,0.4463107380334085,0.3274931927519387,FALSE,ns
Friedmanniella,0.20323759200198457,0.9839267544510548,0.11672905664836876,0.33365359364148467,-1.6592965427691961,-1.4500838653798178,-1.8857877925928674,-0.45509831311801907,4.194045507134367,-0.07835128470218061,0.4241151772234164,0.33365359364148467,FALSE,ns
Tannerella,0.45556659217677253,0.9915053307511932,0.13566019339182356,0.34160919538388773,-2.303272633036144,-2.110458294711126,-2.5079427851708873,-0.333352673319939,2.9683330724476518,-0.06904843102057602,0.44100000019944413,0.34160919538388773,FALSE,ns
Arcobacter,0.3992285940883807,0.9883376820169198,0.13490764882688847,0.3521245940663822,-2.3229249321562992,-2.131229334176952,-2.537078145062549,-0.3421171430568908,3.0546753391655734,-0.07168343465951807,0.43931213777772127,0.3521245940663822,FALSE,ns
Neisseria,0.016370077425900856,0.3627391430667585,0.020276917019281082,0.5057965527813764,7.716663434043053,0.7363788007282377,8.573431742016888,0.4881826187962579,9.919388406400328,0.05914835729802009,0.44551089800417537,0.3627391430667585,FALSE,ns
Unknown genus2,0.576364528774879,0.9997840982153008,0.14029640228322265,0.36280362869498506,-1.726020570288366,-1.5357532931574083,-1.9454126799417697,-0.3584594845750422,3.864521470536144,-0.06335367337090411,0.4348000002210929,0.36280362869498506,FALSE,ns
Chryseobacterium,0.01675079443385734,0.37133862390152045,0.07665451292337427,0.9656822282016709,2.1331319630699523,2.0823539235331205,2.1946519657041064,0.2768358647910114,8.265910775860792,0.03783033323102286,0.4643071386918238,0.37133862390152045,FALSE,ns
Mesorhizobium,0.46307271835322994,1,0.14136412003078488,0.3720508226550294,-1.1627929491952944,-0.9730213224587532,-1.3609087153184714,-0.33212207551727335,4.594419399552671,-0.05125971315592884,0.440111977806931,0.3720508226550294,FALSE,ns
Methylibium,0.2765720761110987,0.9716445613604701,0.15609363779031918,0.3726462265891096,-2.490021444323581,-2.292358346851291,-2.722700455011127,-0.36954327183021807,3.454241107020482,-0.06827705601538131,0.43811237773391293,0.3726462265891096,FALSE,ns
Citrobacter,0.26300556469130426,0.970853295975578,0.15565191794304173,0.37445385109684715,-2.272614856145058,-2.065131964666124,-2.487940684638759,-0.38168087181950305,3.246287813658059,-0.08067205127808469,0.43151369749310736,0.37445385109684715,FALSE,ns
Ruminococcus,0.5485075525697853,1,0.1528806227201192,0.380407891346491,-1.862554691480736,-1.6629009557226526,-2.0969375825605017,-0.409767602912666,3.667957064565659,-0.07060981972639419,0.4329134175441675,0.380407891346491,FALSE,ns
Oribacterium,0.5565562385213467,0.9995103250772769,0.1571227909913532,0.38479835839847176,-2.073432424374837,-1.8938002681244024,-2.2773498080944767,-0.35233419966628166,3.3034090003527954,-0.0646425677979832,0.43631273766821493,0.38479835839847176,FALSE,ns
Halomonas,0.7025693950080951,1,0.14621619526610202,0.38696618179711867,-1.0503764191921077,-0.8774306971542156,-1.2612193426213425,-0.3216218407532301,5.702199190273823,-0.046685518036040034,0.443600000190423,0.38696618179711867,FALSE,ns
Serratia,0.48617031778614483,1,0.1539387068640283,0.38797762369236005,-2.0624814905186364,-1.8666058531733052,-2.2820077458618275,-0.39216049833490096,4.236474025132232,-0.058905243298286857,0.43091381747122814,0.38797762369236005,FALSE,ns
Lautropia,0.6799051465102266,1,0.14132297687137108,0.38975792874229004,0.9940196667008774,1.1497974455669757,0.7835126758844346,-0.37656959960493275,7.362228352689751,-0.05834287762321183,0.4373125377047119,0.38975792874229004,FALSE,ns
Modestobacter,0.3106448566937858,0.9816753706070281,0.16591523870995373,0.3916733883118631,-2.4784321796100004,-2.2879823235666903,-2.676252665764684,-0.32509614290339695,3.396051579562542,-0.05998610466521481,0.4425114978945781,0.3916733883118631,FALSE,ns
Clostridium,0.32381289481958264,0.9909962774641905,0.17412084999304864,0.3922511741436113,-2.527532530377515,-2.312288247931133,-2.7499451012072047,-0.3643293178030591,3.5402181426593353,-0.06591481837102522,0.43811237773391293,0.3922511741436113,FALSE,ns
Diaphorobacter,0.6820693981002465,1,0.15548590715370905,0.3950807246226432,-1.0792980499983909,-0.903194236425036,-1.2877601287721863,-0.3335677186246784,5.819382395405577,-0.04963699714069653,0.4464000001807437,0.3950807246226432,FALSE,ns
Tessaracoccus,0.7087677683422581,1,0.1533216024525587,0.3995640727646048,-0.66360335229331735,-0.5098247899054726,-0.8521384134236278,-0.30749562740720116,4.614666453072321,-0.052834916975248294,0.4387122577558162,0.3995640727646048,FALSE,ns
Kluyvera,0.5523919188895929,0.9973863010641122,0.17815177800573137,0.40218387329043387,-2.25367638726327,-2.076626628107772,-2.4224761251745344,-0.2824376353074687,2.9800907230916973,-0.054347578541904265,0.4491101781357465,0.40218387329043387,FALSE,ns
Sphingobium,0.7044165893721047,1,0.16064599498642684,0.4104197960037788,-0.6271452648637776,-0.4579857947033492,-0.8229122982498662,-0.28607328628460316,6.341805516580375,-0.041894365821940935,0.4500000001683503,0.4104197960037788,FALSE,ns
Kocuria,0.35149311232528574,0.9989571831062812,0.1741778156398074,0.41538969162390976,-2.067810086782851,-1.889267192090763,-2.2605932406337095,-0.3620938668373279,4.420463601311703,-0.053664580898241845,0.43860000020780027,0.41538969162390976,FALSE,ns
Lysobacter,0.2605288872912217,0.9622284758147105,0.18352292700385275,0.41617670729540723,-2.439187927963717,-2.2272169538558853,-2.667896863237697,-0.3830338928440913,3.2474054887250468,-0.07470519122199534,0.4304000002365844,0.41617670729540723,FALSE,ns
Gordonia,0.36756320566360184,0.9955035450789439,0.18366576145728494,0.41981796916418146,-2.050466585677844,-1.8438832888139816,-2.2751783764926508,-0.39119903243569976,3.965601279355596,-0.06349706193001263,0.42991401743476754,0.41981796916418146,FALSE,ns
Unknown genus18,0.7607602608821497,1,0.19250804894202406,0.42072815819725645,-1.9830483031235113,-1.7995597780145598,-2.1795237425152365,-0.2915040024118909,3.3688212391478842,-0.052504414836964455,0.44591081801879184,0.42072815819725645,FALSE,ns
Lactococcus,0.023377900682028892,0.42113520275994126,0.055582915687495855,0.8025908499387499,-0.6177139431647731,-0.6996862539834927,-0.511531603473486,0.30491532637285257,11.570083118337733,0.02993719028498786,0.4620000001274028,0.42113520275994126,FALSE,ns
Noviherbaspirillum,0.5778960160518699,1,0.20168268342079043,0.431463351251058,-2.4337357616705733,-2.2526494311605196,-2.6255906286220867,-0.2742954390334491,3.1844673910759234,-0.0563543388906936,0.4490000001717868,0.431463351251058,FALSE,ns
Blautia,0.5037616343357804,0.9986160857219212,0.19040083439828312,0.4318833987602956,-1.9493291087260216,-1.74176142246265,-2.182510810055134,-0.3828549081217947,3.6015726248177513,-0.07501528527911577,0.4325134975295777,0.4318833987602956,FALSE,ns
Alishewanella,0.43657310005418715,0.9951378764425751,0.2070889441035679,0.4396631077712108,-2.2295426680842034,-2.039221620790716,-2.436989968931594,-0.3648850472724643,3.216538297896534,-0.07667830278279208,0.4374000002119894,0.4396631077712108,FALSE,ns
Enhydrobacter,0.5362998952470968,0.9995093717375049,0.19984703406341858,0.4410830222955692,-1.9164059733582572,-1.6945665929281741,-2.169818909170682,-0.35067275828282973,3.687980913718963,-0.0641749549824151,0.4397120577923254,0.4410830222955692,FALSE,ns
Deinococcus,0.33693760476583806,0.9888034321287411,0.20220495050232104,0.4418454570538075,-2.4086684612071956,-2.2139633081921337,-2.616759977932742,-0.33846943763638837,3.25444099187135,-0.06837801336113955,0.43631273766821493,0.4418454570538075,FALSE,ns
Moraxella,0.5626111213114738,1,0.1882454971489383,0.4419144438502512,-0.2709309994027791,-0.07523419091103101,-0.5155758185316879,-0.38294647506653323,6.835973063608494,-0.051940543441204745,0.43931213777772127,0.4419144438502512,FALSE,ns
