taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,significant,direction
Leuconostoc,0.09668936741072125,-0.20199518747518444,0.1638148589682948,0.21887445997149366,0.5902356356417874,-0.9228814887835356,0.5553274510630175,0.3570488524254244,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.20199518747518444,1,FALSE,ns
Limnohabitans,-0.06494162658913986,0.11465765937360928,0.16537031475234054,0.21649695587413548,-0.39270425702700507,0.5296040256578372,0.694725624640666,0.5969038152503788,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.11465765937360928,1,FALSE,ns
Lysobacter,0.09506046085448523,-0.27379376130307104,0.1746341960030573,0.23801391584447162,0.5443404730011814,-1.1503266955280862,0.5864848356158625,0.25063842493613847,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.27379376130307104,1,FALSE,ns
Marmoricola,0.11815913157282357,-0.24493471579939088,0.1538345562246814,0.20814614636806672,0.7680922575045331,-1.1767439372443178,0.44283169629217045,0.2399143174475873,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.24493471579939088,1,FALSE,ns
Massilia,-0.041843220198542794,0.0750699877433425,0.20959397934673826,0.28259313091549293,-0.19963941869398916,0.265646894884333,0.8418523205217341,0.790752265286707,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0750699877433425,1,FALSE,ns
Mesorhizobium,0.060759790008732883,-0.20565803957779857,0.23208958286142717,0.3206706671049099,0.2617945590647664,-0.6413372368434185,0.793603182860259,0.5216398150310336,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.20565803957779857,1,FALSE,ns
Methylibium,-0.1533295938288339,-0.7913625919801484,0.45532293532327345,0.5625648871891417,-0.3367491113092554,-1.4067045597783316,0.7366801765310567,0.16392088936212829,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.7913625919801484,1,FALSE,ns
Methylobacterium,0.2303100708533135,-0.4669794104701206,0.300892804008417,0.3580036433832156,0.7654223290992062,-1.3043984861636024,0.4444595080189474,0.19342414199303654,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.4669794104701206,1,FALSE,ns
Methyloversatilis,-0.10199852201900675,0.19538059138427058,0.14834437015071728,0.19504694759574917,-0.687579325830678,1.0017105819528789,0.4920727964084869,0.31754998846037885,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.19538059138427058,1,FALSE,ns
Microbacterium,0.1994890011735283,-0.43821401524253967,0.2576850627534997,0.34718783551708504,0.774158187680279,-1.2621813624025293,0.439246755014444,0.20818856572947,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.43821401524253967,1,FALSE,ns
Microbispora,-0.031183923725327533,0.05375139479691272,0.1553262531538079,0.21033190167390123,-0.20076402470384988,0.2555551220197159,0.8409730016840096,0.7984101134763568,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.05375139479691272,1,FALSE,ns
Modestobacter,-0.0071828452735853135,0.0057492378934268385,0.15662256733800267,0.21223023980134337,-0.04586085770184204,0.027089626336041332,0.9634413175380873,0.978400151986045,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0057492378934268385,1,FALSE,ns
Moryella,-0.001950381792258753,-0.004715689069226897,0.17337445226044548,0.18276961647510168,-0.011249533981678354,-0.02580127463291638,0.9910314032942071,0.9794385124470025,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.004715689069226897,1,FALSE,ns
Mycobacterium,-0.12154302433391528,0.19333762530810114,0.21568246769980814,0.29562916279153717,-0.563527604399824,0.6539869865424377,0.5733589564630399,0.513811671516951,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.19333762530810114,1,FALSE,ns
Mycoplana,-0.027125753807127468,0.039529272624229936,0.1700305288592745,0.23165837625819813,-0.15953460822072757,0.17063606014475394,0.8733187994840115,0.8645861272882331,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.039529272624229936,1,FALSE,ns
Neisseria,0.07714751959165432,-0.18116213613330853,0.24025041761510912,0.33010369735248485,0.32111294688880737,-0.5488037170933701,0.74827425590071,0.5836903218755338,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.18116213613330853,1,FALSE,ns
Nocardioides,-0.04323058432047773,0.07784471598721335,0.19138689963700106,0.2619707402937237,-0.22588058222622417,0.29715042183693197,0.8213959608661344,0.7666234070719666,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.07784471598721335,1,FALSE,ns
