taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,significant,direction
Shewanella,0.26032204829114347,-0.3188270714436524,0.3252197210689225,0.44223538938497914,0.8004497618887462,-0.7209442733360806,0.42410352465645484,0.47207945807790386,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.3188270714436524,1,FALSE,ns
Sphaerobacter,0.3406942174432762,-0.5059713389991745,0.2983638015312285,0.40102962329448444,1.1418751728420284,-1.261680707880348,0.25448208372777026,0.209100569516016,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5059713389991745,1,FALSE,ns
Sphingobacterium,0.2079105165057399,-0.2863393911563602,0.2976227943245393,0.40130172696570227,0.6985705412033271,-0.713526436383446,0.4853920919514617,0.4761059919236694,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.2863393911563602,1,FALSE,ns
Sphingobium,0.10041375475319962,-0.05782222656804401,0.33257244556184046,0.4501917847833478,0.30193046986668687,-0.12843909756343205,0.7629158019264987,0.8979797860937979,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.05782222656804401,1,FALSE,ns
Sphingomonas,-0.0075220833355664415,0.044155001500328236,0.32191499991398814,0.4369934367041018,-0.023366675481342133,0.1010427109234288,0.9813730167150724,0.9195827279212347,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.044155001500328236,1,FALSE,ns
Stenotrophomonas,0.012602892063254193,0.09858388999554141,0.3143830071438012,0.4255620668658553,0.04008770123344973,0.23165572702845433,0.9680499607399927,0.8169638777256537,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.09858388999554141,1,FALSE,ns
Stenoxybacter,-0.19294156656635958,0.48051791597054433,0.311405274148985,0.39525151109684004,-0.6195834900151721,1.2157269548118521,0.5360244627602387,0.2260180925650463,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.48051791597054433,1,FALSE,ns
Streptococcus,-0.5548900973094353,1.0407351851688247,0.3568728689317127,0.4605107309321244,-1.5548677011241585,2.259958596539677,0.12105132815309956,0.025242103090554236,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.0407351851688247,1,FALSE,ns
Streptomyces,-0.07104052946781562,0.30784898368233693,0.3175891583284408,0.40971547028824207,-0.22368688478448537,0.7513726134523545,0.8231610471409534,0.45361940592549466,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.30784898368233693,1,FALSE,ns
Tessaracoccus,-0.001220245439449663,0.159756009124057,0.3069971728534773,0.4166480174977673,-0.003974777448625099,0.383431583530607,0.9968313853170363,0.7016866554077831,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.159756009124057,1,FALSE,ns
Unknown genus1,0.09957683862894039,-0.04732982606104448,0.2956452747999789,0.3781662078631429,0.3368118725939722,-0.12515614847895926,0.736515136536394,0.900578229848632,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.04732982606104448,1,FALSE,ns
Unknown genus116,-0.4169567119755164,0.8792357301596918,0.3561970031154196,0.4568900895381753,-1.1705789445971524,1.9243922122461088,0.24271397340077563,0.05615995629274094,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.8792357301596918,1,FALSE,ns
Unknown genus123,-0.20155321395152254,0.4322172627322406,0.3575096133426594,0.45096033099882626,-0.5637700538092704,0.958437434563098,0.5733453109747955,0.33935430745654604,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.4322172627322406,1,FALSE,ns
Unknown genus125,-0.15558011452572523,0.5454899091864487,0.3154565517693878,0.4279602412784523,-0.49319030989554763,1.2746275391305,0.6222634028164238,0.20469786780360275,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5454899091864487,1,FALSE,ns
Unknown genus14,0.07304014045155953,-9.116997100307987e-4,0.33999643519543965,0.4253241175523613,0.21482619489693758,-0.0021435410605855428,0.8300724075506922,0.9982928508218833,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-9.116997100307987e-4,1,FALSE,ns
Unknown genus2,0.09230674560039091,0.010187968447449494,0.3033527157175964,0.3764261694064581,0.30428850911070493,0.027064984518780127,0.7611528523775071,0.9784474640940093,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.010187968447449494,1,FALSE,ns
Unknown genus20,-0.07539219402050738,0.2826009988149421,0.33433883620983,0.4487289892562314,-0.22549637031454964,0.6297810161169962,0.821748033287784,0.5298012973223061,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.2826009988149421,1,FALSE,ns
Unknown genus3,0.054442739139647915,0.09045098261385913,0.3181864806336143,0.4328275524079,0.17110324433405985,0.20897695193077134,0.8642666098978856,0.8346187252294429,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.09045098261385913,1,FALSE,ns
